x,t=15s,t=30s,t=60s,t=90s,t=150s,t=210s
0,43.3744,50.4419,56.1889,57.8138,58.4032,58.4503
4e-06,43.3713,50.4388,56.1858,57.8108,58.4001,58.4472
8e-06,43.3683,50.4358,56.1828,57.8077,58.3971,58.4442
1.2e-05,43.3653,50.4327,56.1797,57.8047,58.394,58.4411
1.6e-05,43.3622,50.4297,56.1767,57.8016,58.391,58.4381
2e-05,43.3592,50.4266,56.1736,57.7986,58.3879,58.4351
2.4e-05,43.3561,50.4236,56.1706,57.7955,58.3849,58.432
2.8e-05,43.3531,50.4205,56.1676,57.7925,58.3818,58.429
3.2e-05,43.35,50.4175,56.1645,57.7894,58.3788,58.4259
3.6e-05,43.347,50.4145,56.1615,57.7864,58.3758,58.4229
4e-05,43.3439,50.4114,56.1584,57.7834,58.3727,58.4198
4.4e-05,43.3409,50.4084,56.1554,57.7803,58.3697,58.4168
4.8e-05,43.3378,50.4053,56.1523,57.7773,58.3666,58.4137
5.2e-05,43.3348,50.4023,56.1493,57.7742,58.3636,58.4107
5.6e-05,43.3318,50.3992,56.1462,57.7712,58.3605,58.4076
6e-05,43.3287,50.3962,56.1432,57.7681,58.3575,58.4046
6.4e-05,43.3257,50.3931,56.1402,57.7651,58.3544,58.4016
6.8e-05,43.3226,50.3901,56.1371,57.762,58.3514,58.3985
7.2e-05,43.3196,50.3871,56.1341,57.759,58.3484,58.3955
7.6e-05,43.3165,50.384,56.131,57.756,58.3453,58.3924
8e-05,43.3135,50.381,56.128,57.7529,58.3423,58.3894
8.4e-05,43.3105,50.3779,56.1249,57.7499,58.3392,58.3864
8.8e-05,43.3074,50.3749,56.1219,57.7468,58.3362,58.3833
9.2e-05,43.3044,50.3719,56.1189,57.7438,58.3332,58.3803
9.6e-05,43.3013,50.3688,56.1158,57.7408,58.3301,58.3772
0.0001,43.2983,50.3658,56.1128,57.7377,58.3271,58.3742
0.000104,43.2953,50.3627,56.1097,57.7347,58.324,58.3712
0.000108,43.2922,50.3597,56.1067,57.7316,58.321,58.3681
0.000112,43.2892,50.3567,56.1037,57.7286,58.318,58.3651
0.000116,43.2861,50.3536,56.1006,57.7256,58.3149,58.362
0.00012,43.2831,50.3506,56.0976,57.7225,58.3119,58.359
0.000124,43.2801,50.3476,56.0946,57.7195,58.3089,58.356
0.000128,43.277,50.3445,56.0915,57.7165,58.3058,58.3529
0.000132,43.274,50.3415,56.0885,57.7134,58.3028,58.3499
0.000136,43.271,50.3384,56.0855,57.7104,58.2997,58.3469
0.00014,43.2679,50.3354,56.0824,57.7074,58.2967,58.3438
0.000144,43.2649,50.3324,56.0794,57.7043,58.2937,58.3408
0.000148,43.2619,50.3293,56.0763,57.7013,58.2906,58.3378
0.000152,43.2588,50.3263,56.0733,57.6983,58.2876,58.3347
0.000156,43.2558,50.3233,56.0703,57.6952,58.2846,58.3317
0.00016,43.2528,50.3202,56.0672,57.6922,58.2815,58.3287
0.000164,43.2497,50.3172,56.0642,57.6892,58.2785,58.3256
0.000168,43.2467,50.3142,56.0612,57.6861,58.2755,58.3226
0.000172,43.2437,50.3111,56.0582,57.6831,58.2724,58.3196
0.000176,43.2406,50.3081,56.0551,57.6801,58.2694,58.3165
0.00018,43.2376,50.3051,56.0521,57.677,58.2664,58.3135
0.000184,43.2346,50.3021,56.0491,57.674,58.2633,58.3105
0.000188,43.2315,50.299,56.046,57.671,58.2603,58.3074
0.000192,43.2285,50.296,56.043,57.6679,58.2573,58.3044
0.000196,43.2255,50.293,56.04,57.6649,58.2543,58.3014
0.0002,43.2225,50.2899,56.0369,57.6619,58.2512,58.2983
0.000204,43.2194,50.2869,56.0339,57.6589,58.2482,58.2953
0.000208,43.2164,50.2839,56.0309,57.6558,58.2452,58.2923
0.000212,43.2134,50.2808,56.0279,57.6528,58.2421,58.2893
0.000216,43.2103,50.2778,56.0248,57.6498,58.2391,58.2862
0.00022,43.2073,50.2748,56.0218,57.6467,58.2361,58.2832
0.000224,43.2043,50.2718,56.0188,57.6437,58.2331,58.2802
0.000228,43.2013,50.2687,56.0157,57.6407,58.23,58.2772
