t,x(0),x(M/2),x(M)
0,20,20.1227,20.007
0.5,24.2886,20.3965,20.0348
1,26.3874,20.7846,20.0977
1.5,27.929,21.2419,20.2051
2,29.1871,21.7352,20.3606
2.5,30.2658,22.2441,20.5627
3,31.2175,22.7569,20.807
3.5,32.0736,23.267,21.0874
4,32.8544,23.7709,21.3978
4.5,33.5743,24.2666,21.732
5,34.244,24.7534,22.0848
5.5,34.8716,25.2308,22.4515
6,35.4634,25.6986,22.8281
6.5,36.0244,26.1569,23.2114
7,36.5588,26.6058,23.5987
7.5,37.0699,27.0454,23.9878
8,37.5603,27.4758,24.3768
8.5,38.0324,27.8974,24.7644
9,38.488,28.3101,25.1492
9.5,38.9286,28.7143,25.5306
10,39.3556,29.11,25.9076
10.5,39.7701,29.4975,26.2798
11,40.1729,29.8769,26.6466
11.5,40.5649,30.2484,27.0079
12,40.9467,30.6122,27.3632
12.5,41.3189,30.9684,27.7125
13,41.682,31.3172,28.0556
13.5,42.0364,31.6587,28.3925
14,42.3825,31.9931,28.7231
14.5,42.7207,32.3205,29.0474
15,43.0512,32.6411,29.3655
15.5,43.3744,32.955,29.6773
16,43.6904,33.2624,29.983
16.5,43.9995,33.5634,30.2826
17,44.3019,33.8581,30.5761
17.5,44.5977,34.1467,30.8638
18,44.8873,34.4292,31.1456
18.5,45.1706,34.7059,31.4216
19,45.4479,34.9768,31.692
19.5,45.7193,35.2421,31.9568
20,45.985,35.5018,32.2162
20.5,46.2451,35.7561,32.4703
21,46.4997,36.0052,32.7191
21.5,46.749,36.249,32.9627
22,46.993,36.4878,33.2013
22.5,47.2319,36.7216,33.435
23,47.4658,36.9505,33.6638
23.5,47.6949,37.1746,33.8878
24,47.9191,37.3941,34.1073
24.5,48.1386,37.609,34.3221
25,48.3536,37.8194,34.5325
25.5,48.5641,38.0255,34.7385
26,48.7702,38.2272,34.9402
26.5,48.9719,38.4248,35.1377
27,49.1695,38.6182,35.3311
27.5,49.363,38.8076,35.5205
28,49.5524,38.9931,35.706
28.5,49.7379,39.1747,35.8875
29,49.9195,39.3525,36.0653
29.5,50.0973,39.5266,36.2394
30,50.2714,39.6971,36.4099
30.5,50.4419,39.7413,36.5698
31,46.3203,39.6309,36.7055
31.5,44.3848,39.4029,36.8027
32,43.0033,39.1023,36.8519
32.5,41.9019,38.7624,36.8499
33,40.9767,38.4037,36.798
33.5,40.1752,38.0381,36.7008
34,39.4663,37.672,36.5644
34.5,38.8295,37.3092,36.3952
35,38.2506,36.9516,36.199
35.5,37.7191,36.6,35.9815
36,37.2267,36.2551,35.7472
36.5,36.7673,35.9169,35.5002
37,36.336,35.5856,35.2439
37.5,35.9285,35.261,34.9809
38,35.5418,34.9431,34.7136
38.5,35.1731,34.6319,34.4437
39,34.8202,34.3271,34.1729
39.5,34.4813,34.0286,33.9023
40,34.1549,33.7363,33.6328
40.5,33.8398,33.4502,33.3654
41,33.5349,33.1699,33.1005
41.5,33.2394,32.8956,32.8387
42,32.9525,32.6269,32.5803
42.5,32.6735,32.3638,32.3257
43,32.402,32.1063,32.075
43.5,32.1375,31.8541,31.8284
44,31.8797,31.6071,31.5861
44.5,31.6281,31.3653,31.3481
45,31.3825,31.1285,31.1144
45.5,31.1426,30.8967,30.8851
46,30.9082,30.6696,30.6602
46.5,30.6791,30.4474,30.4396
47,30.4551,30.2297,30.2234
47.5,30.2361,30.0166,30.0114
48,30.0218,29.8079,29.8036
48.5,29.8122,29.6036,29.6001
49,29.6071,29.4035,29.4006
49.5,29.4064,29.2076,29.2053
50,29.2099,29.0158,29.0139
50.5,29.0177,28.8279,28.8264
51,28.8295,28.644,28.6427
51.5,28.6453,28.4639,28.4629
52,28.465,28.2876,28.2867
52.5,28.2885,28.115,28.1142
53,28.1157,27.9459,27.9453
53.5,27.9465,27.7803,27.7799
54,27.7808,27.6183,27.6179
54.5,27.6186,27.4595,27.4592
55,27.4599,27.3041,27.3039
55.5,27.3044,27.152,27.1518
56,27.1522,27.003,27.0028
56.5,27.0031,26.8571,26.8569
57,26.8572,26.7142,26.7141
57.5,26.7143,26.5743,26.5742
58,26.5744,26.4374,26.4373
58.5,26.4375,26.3033,26.3032
59,26.3033,26.1719,26.1719
59.5,26.172,26.0434,26.0433
60,26.0434,25.9175,25.9174
60.5,25.9175,25.9168,25.8012
61,30.0828,26.07,25.7082
61.5,32.0609,26.3399,25.6529
62,33.4843,26.6814,25.6446
62.5,34.6267,27.0614,25.6868
63,35.592,27.4594,25.778
63.5,36.4328,27.8635,25.9136
64,37.1802,28.2672,26.0877
64.5,37.8546,28.6669,26.2938
65,38.4703,29.0607,26.526
65.5,39.038,29.4476,26.779
66,39.5657,29.8272,27.0478
66.5,40.0597,30.1992,27.3287
67,40.525,30.5638,27.6183
67.5,40.9657,30.9208,27.9138
68,41.3849,31.2705,28.2129
68.5,41.7855,31.613,28.5139
69,42.1695,31.9483,28.8153
69.5,42.5389,32.2766,29.1158
70,42.8952,32.5982,29.4145
70.5,43.2395,32.913,29.7106
71,43.573,33.2212,30.0035
71.5,43.8966,33.5231,30.2928
72,44.211,33.8186,30.5781
72.5,44.5169,34.108,30.859
73,44.8147,34.3914,31.1355
73.5,45.105,34.6688,31.4073
74,45.3881,34.9405,31.6744
74.5,45.6644,35.2065,31.9366
75,45.9342,35.467,32.194
75.5,46.1978,35.7221,32.4465
76,46.4554,35.9718,32.6941
76.5,46.7072,36.2164,32.9369
77,46.9535,36.4558,33.175
77.5,47.1943,36.6903,33.4083
78,47.4299,36.9198,33.6369
78.5,47.6604,37.1446,33.8609
79,47.886,37.3647,34.0804
79.5,48.1067,37.5802,34.2954
80,48.3227,37.7913,34.506
80.5,48.5342,37.9979,34.7123
81,48.7412,38.2002,34.9143
81.5,48.9438,38.3983,35.1122
82,49.1421,38.5923,35.306
82.5,49.3363,38.7822,35.4958
83,49.5264,38.9682,35.6816
83.5,49.7125,39.1503,35.8637
84,49.8947,39.3287,36.0419
84.5,50.0731,39.5033,36.2164
85,50.2478,39.6742,36.3873
85.5,50.4188,39.8416,36.5547
86,50.5863,40.0055,36.7186
86.5,50.7502,40.166,36.879
87,50.9107,40.3232,37.0362
87.5,51.0679,40.4771,37.19
88,51.2218,40.6278,37.3407
88.5,51.3725,40.7753,37.4882
89,51.5201,40.9198,37.6326
89.5,51.6646,41.0612,37.7741
90,51.806,41.1997,37.9126
90.5,51.9445,41.2127,38.0412
91,47.7916,41.0716,38.1462
91.5,45.8255,40.8135,38.2134
92,44.414,40.4836,38.2332
92.5,43.2832,40.115,38.2024
93,42.3292,39.7281,38.1223
93.5,41.4995,39.3348,37.9976
94,40.763,38.9418,37.8342
94.5,40.0993,38.5525,37.6385
95,39.4939,38.169,37.4164
95.5,38.9364,37.792,37.1735
96,38.4187,37.4223,36.9144
96.5,37.9345,37.0598,36.6431
97,37.4788,36.7046,36.3629
97.5,37.0476,36.3568,36.0766
98,36.6375,36.0161,35.7865
98.5,36.246,35.6824,35.4943
99,35.8707,35.3557,35.2016
99.5,35.51,35.0358,34.9095
100,35.1622,34.7226,34.6191
100.5,34.8261,34.4159,34.3311
101,34.5006,34.1155,34.0461
101.5,34.185,33.8215,33.7646
102,33.8784,33.5335,33.4869
102.5,33.5801,33.2516,33.2134
103,33.2898,32.9755,32.9442
103.5,33.0068,32.7052,32.6795
104,32.7308,32.4405,32.4195
104.5,32.4615,32.1813,32.1641
105,32.1985,31.9275,31.9134
105.5,31.9416,31.679,31.6675
106,31.6906,31.4357,31.4263
106.5,31.4452,31.1975,31.1897
107,31.2052,30.9642,30.9578
107.5,30.9705,30.7358,30.7306
108,30.741,30.5121,30.5079
108.5,30.5164,30.2931,30.2896
